Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City
32,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
33,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
34,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
35,CA-2018-107727,1900-01-17T16:54:00Z,1900-01-21T16:54:00Z,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston
36,CA-2017-117590,2017-08-11T10:00:00Z,2017-10-11T10:00:00Z,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson
37,CA-2017-117590,2017-08-11T10:00:00Z,2017-10-11T10:00:00Z,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson
38,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston
39,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston
40,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston
41,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston
42,CA-2018-120999,2018-10-08T10:00:00Z,1900-01-13T16:54:00Z,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville
43,CA-2017-101343,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles
44,CA-2018-139619,1900-01-17T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne
45,CA-2017-118255,2017-11-02T10:00:00Z,1900-01-11T16:54:00Z,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan
46,CA-2017-118255,2017-11-02T10:00:00Z,1900-01-11T16:54:00Z,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan
47,CA-2015-146703,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland
48,CA-2017-169194,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover
49,CA-2017-169194,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover
50,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany
51,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany
52,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany
53,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany
54,CA-2017-105816,2017-11-11T10:00:00Z,1900-01-15T16:54:00Z,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City
55,CA-2017-105816,2017-11-11T10:00:00Z,1900-01-15T16:54:00Z,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City
56,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
57,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
58,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
59,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
60,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
61,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
62,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy
63,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles
64,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles
65,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles
66,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles
67,US-2016-164175,1900-01-28T16:54:00Z,2016-05-04T10:00:00Z,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago
68,CA-2015-106376,2015-05-11T10:00:00Z,2015-10-11T10:00:00Z,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert
69,CA-2015-106376,2015-05-11T10:00:00Z,2015-10-11T10:00:00Z,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert
70,CA-2017-119823,2017-04-05T10:00:00Z,2017-06-05T10:00:00Z,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield
71,CA-2017-106075,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City
72,CA-2018-114440,1900-01-12T16:54:00Z,1900-01-15T16:54:00Z,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson
73,US-2016-134026,1900-01-24T16:54:00Z,2016-02-04T10:00:00Z,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis
74,US-2016-134026,1900-01-24T16:54:00Z,2016-02-04T10:00:00Z,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis
75,US-2016-134026,1900-01-24T16:54:00Z,2016-02-04T10:00:00Z,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis
76,US-2018-118038,2018-09-11T10:00:00Z,2018-11-11T10:00:00Z,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston
77,US-2018-118038,2018-09-11T10:00:00Z,2018-11-11T10:00:00Z,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston
78,US-2018-118038,2018-09-11T10:00:00Z,2018-11-11T10:00:00Z,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston
79,US-2015-147606,1900-01-24T16:54:00Z,2015-01-11T10:00:00Z,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston
80,CA-2017-127208,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur
81,CA-2017-127208,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur
82,CA-2015-139451,2015-12-09T10:00:00Z,1900-01-14T16:54:00Z,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco
83,CA-2015-139451,2015-12-09T10:00:00Z,1900-01-14T16:54:00Z,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco
84,CA-2016-149734,2016-03-08T10:00:00Z,2016-08-08T10:00:00Z,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham
85,US-2018-119662,1900-01-11T16:54:00Z,1900-01-14T16:54:00Z,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago
86,CA-2018-140088,1900-01-26T16:54:00Z,1900-01-28T16:54:00Z,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia
87,CA-2018-155558,1900-01-24T16:54:00Z,2018-02-10T10:00:00Z,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester
88,CA-2018-155558,1900-01-24T16:54:00Z,2018-02-10T10:00:00Z,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester
89,CA-2017-159695,2017-05-03T10:00:00Z,2017-10-03T10:00:00Z,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston
90,CA-2017-109806,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles
91,CA-2017-109806,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles
92,CA-2017-109806,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles
93,CA-2016-149587,1900-01-29T16:54:00Z,2016-05-01T10:00:00Z,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis
94,CA-2016-149587,1900-01-29T16:54:00Z,2016-05-01T10:00:00Z,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis
95,CA-2016-149587,1900-01-29T16:54:00Z,2016-05-01T10:00:00Z,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis
96,US-2018-109484,2018-06-10T10:00:00Z,2018-12-10T10:00:00Z,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland
97,CA-2018-161018,2018-09-10T10:00:00Z,2018-11-10T10:00:00Z,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City
98,CA-2018-157833,1900-01-15T16:54:00Z,1900-01-18T16:54:00Z,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco
99,CA-2017-149223,2017-06-08T10:00:00Z,2017-11-08T10:00:00Z,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul
100,CA-2017-158568,1900-01-27T16:54:00Z,2017-02-08T10:00:00Z,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago
101,CA-2017-158568,1900-01-27T16:54:00Z,2017-02-08T10:00:00Z,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago
102,CA-2017-158568,1900-01-27T16:54:00Z,2017-02-08T10:00:00Z,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago
103,CA-2017-129903,2017-01-11T10:00:00Z,2017-04-11T10:00:00Z,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester
104,US-2016-156867,1900-01-11T16:54:00Z,1900-01-15T16:54:00Z,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora
105,US-2016-156867,1900-01-11T16:54:00Z,1900-01-15T16:54:00Z,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora
106,US-2016-156867,1900-01-11T16:54:00Z,1900-01-15T16:54:00Z,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora
107,CA-2018-119004,1900-01-21T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte
108,CA-2018-119004,1900-01-21T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte
109,CA-2018-119004,1900-01-21T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte
110,CA-2016-129476,1900-01-13T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park
111,CA-2018-146780,1900-01-23T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City
112,CA-2017-128867,2017-03-10T10:00:00Z,2017-10-10T10:00:00Z,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale
113,CA-2017-128867,2017-03-10T10:00:00Z,2017-10-10T10:00:00Z,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale
114,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus
115,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus
116,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus
117,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus
118,CA-2016-110457,2016-02-02T10:00:00Z,2016-06-02T10:00:00Z,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle
119,US-2016-136476,2016-05-03T10:00:00Z,2016-10-03T10:00:00Z,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol
120,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington
121,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington
122,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington
123,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington
124,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington
125,US-2015-152030,1900-01-24T16:54:00Z,1900-01-26T16:54:00Z,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston
126,US-2015-134614,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington
127,US-2018-107272,2018-05-10T10:00:00Z,2018-12-10T10:00:00Z,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix
128,US-2018-107272,2018-05-10T10:00:00Z,2018-12-10T10:00:00Z,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix
129,US-2017-125969,2017-06-10T10:00:00Z,2017-10-10T10:00:00Z,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles
130,US-2017-125969,2017-06-10T10:00:00Z,2017-10-10T10:00:00Z,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles
131,US-2018-164147,2018-02-01T10:00:00Z,2018-05-01T10:00:00Z,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus
132,US-2018-164147,2018-02-01T10:00:00Z,2018-05-01T10:00:00Z,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus
133,US-2018-164147,2018-02-01T10:00:00Z,2018-05-01T10:00:00Z,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus
134,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
135,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
136,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
137,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
138,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
139,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
140,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville
141,CA-2017-110366,2017-05-08T10:00:00Z,2017-07-08T10:00:00Z,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia
142,CA-2018-106180,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco
143,CA-2018-106180,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco
144,CA-2018-106180,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco
145,CA-2018-155376,1900-01-20T16:54:00Z,1900-01-25T16:54:00Z,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence
146,CA-2016-110744,2016-07-08T10:00:00Z,2016-12-08T10:00:00Z,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena
147,CA-2015-110072,1900-01-20T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark
148,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin
149,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin
150,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin
151,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin
152,CA-2017-158834,1900-01-11T16:54:00Z,1900-01-14T16:54:00Z,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale
153,CA-2017-158834,1900-01-11T16:54:00Z,1900-01-14T16:54:00Z,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale
154,CA-2016-124919,1900-01-29T16:54:00Z,2016-02-05T10:00:00Z,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose
155,CA-2016-124919,1900-01-29T16:54:00Z,2016-02-05T10:00:00Z,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose
156,CA-2016-124919,1900-01-29T16:54:00Z,2016-02-05T10:00:00Z,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose
157,CA-2016-118948,1900-01-26T16:54:00Z,2016-03-05T10:00:00Z,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle
158,CA-2015-104269,2015-01-02T10:00:00Z,2015-06-02T10:00:00Z,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle
159,CA-2017-114104,1900-01-18T16:54:00Z,1900-01-22T16:54:00Z,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond
160,CA-2017-114104,1900-01-18T16:54:00Z,1900-01-22T16:54:00Z,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond
161,CA-2017-162733,2017-11-04T10:00:00Z,2017-12-04T10:00:00Z,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles
162,CA-2016-119697,1900-01-26T16:54:00Z,1900-01-29T16:54:00Z,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia
163,CA-2017-154508,1900-01-14T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad
164,CA-2017-113817,2017-07-10T10:00:00Z,2017-11-10T10:00:00Z,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle
165,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
166,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
167,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
168,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
169,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
170,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
171,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio
172,CA-2015-118962,2015-05-07T10:00:00Z,2015-09-07T10:00:00Z,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles
173,CA-2015-118962,2015-05-07T10:00:00Z,2015-09-07T10:00:00Z,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles
174,CA-2015-118962,2015-05-07T10:00:00Z,2015-09-07T10:00:00Z,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles
175,US-2015-100853,1900-01-12T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago
176,US-2015-100853,1900-01-12T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago
177,US-2018-152366,1900-01-19T16:54:00Z,1900-01-23T16:54:00Z,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston
178,US-2016-101511,1900-01-19T16:54:00Z,1900-01-21T16:54:00Z,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark
179,US-2016-101511,1900-01-19T16:54:00Z,1900-01-21T16:54:00Z,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark
180,CA-2016-137225,1900-01-13T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City
181,CA-2015-166191,2015-05-11T10:00:00Z,2015-09-11T10:00:00Z,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur
182,CA-2015-166191,2015-05-11T10:00:00Z,2015-09-11T10:00:00Z,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur
183,CA-2015-158274,1900-01-17T16:54:00Z,1900-01-22T16:54:00Z,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe
184,CA-2015-158274,1900-01-17T16:54:00Z,1900-01-22T16:54:00Z,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe
185,CA-2015-158274,1900-01-17T16:54:00Z,1900-01-22T16:54:00Z,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe
186,CA-2017-105018,1900-01-26T16:54:00Z,2017-02-11T10:00:00Z,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield
