,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name
72,73,US-2016-134026,1900-01-24T16:54:00Z,2016-02-04T10:00:00Z,Standard Class,JE-15745,Joel Eaton
73,74,US-2016-134026,1900-01-24T16:54:00Z,2016-02-04T10:00:00Z,Standard Class,JE-15745,Joel Eaton
74,75,US-2016-134026,1900-01-24T16:54:00Z,2016-02-04T10:00:00Z,Standard Class,JE-15745,Joel Eaton
75,76,US-2018-118038,2018-09-11T10:00:00Z,2018-11-11T10:00:00Z,First Class,KB-16600,Ken Brennan
76,77,US-2018-118038,2018-09-11T10:00:00Z,2018-11-11T10:00:00Z,First Class,KB-16600,Ken Brennan
77,78,US-2018-118038,2018-09-11T10:00:00Z,2018-11-11T10:00:00Z,First Class,KB-16600,Ken Brennan
78,79,US-2015-147606,1900-01-24T16:54:00Z,2015-01-11T10:00:00Z,Second Class,JE-15745,Joel Eaton
79,80,CA-2017-127208,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20770,Stewart Carmichael
80,81,CA-2017-127208,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20770,Stewart Carmichael
81,82,CA-2015-139451,2015-12-09T10:00:00Z,1900-01-14T16:54:00Z,Standard Class,DN-13690,Duane Noonan
82,83,CA-2015-139451,2015-12-09T10:00:00Z,1900-01-14T16:54:00Z,Standard Class,DN-13690,Duane Noonan
83,84,CA-2016-149734,2016-03-08T10:00:00Z,2016-08-08T10:00:00Z,Standard Class,JC-16105,Julie Creighton
84,85,US-2018-119662,1900-01-11T16:54:00Z,1900-01-14T16:54:00Z,First Class,CS-12400,Christopher Schild
85,86,CA-2018-140088,1900-01-26T16:54:00Z,1900-01-28T16:54:00Z,Second Class,PO-18865,Patrick O'Donnell
86,87,CA-2018-155558,1900-01-24T16:54:00Z,2018-02-10T10:00:00Z,Standard Class,PG-18895,Paul Gonzalez
87,88,CA-2018-155558,1900-01-24T16:54:00Z,2018-02-10T10:00:00Z,Standard Class,PG-18895,Paul Gonzalez
88,89,CA-2017-159695,2017-05-03T10:00:00Z,2017-10-03T10:00:00Z,Second Class,GM-14455,Gary Mitchum
89,90,CA-2017-109806,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,JS-15685,Jim Sink
90,91,CA-2017-109806,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,JS-15685,Jim Sink
91,92,CA-2017-109806,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,JS-15685,Jim Sink
92,93,CA-2016-149587,1900-01-29T16:54:00Z,2016-05-01T10:00:00Z,Second Class,KB-16315,Karl Braun
93,94,CA-2016-149587,1900-01-29T16:54:00Z,2016-05-01T10:00:00Z,Second Class,KB-16315,Karl Braun
94,95,CA-2016-149587,1900-01-29T16:54:00Z,2016-05-01T10:00:00Z,Second Class,KB-16315,Karl Braun
95,96,US-2018-109484,2018-06-10T10:00:00Z,2018-12-10T10:00:00Z,Standard Class,RB-19705,Roger Barcio
96,97,CA-2018-161018,2018-09-10T10:00:00Z,2018-11-10T10:00:00Z,Second Class,PN-18775,Parhena Norris
97,98,CA-2018-157833,1900-01-15T16:54:00Z,1900-01-18T16:54:00Z,First Class,KD-16345,Katherine Ducich
98,99,CA-2017-149223,2017-06-08T10:00:00Z,2017-11-08T10:00:00Z,Standard Class,ER-13855,Elpida Rittenbach
99,100,CA-2017-158568,1900-01-27T16:54:00Z,2017-02-08T10:00:00Z,Standard Class,RB-19465,Rick Bensley
100,101,CA-2017-158568,1900-01-27T16:54:00Z,2017-02-08T10:00:00Z,Standard Class,RB-19465,Rick Bensley
101,102,CA-2017-158568,1900-01-27T16:54:00Z,2017-02-08T10:00:00Z,Standard Class,RB-19465,Rick Bensley
102,103,CA-2017-129903,2017-01-11T10:00:00Z,2017-04-11T10:00:00Z,Second Class,GZ-14470,Gary Zandusky
103,104,US-2016-156867,1900-01-11T16:54:00Z,1900-01-15T16:54:00Z,Standard Class,LC-16870,Lena Cacioppo
104,105,US-2016-156867,1900-01-11T16:54:00Z,1900-01-15T16:54:00Z,Standard Class,LC-16870,Lena Cacioppo
105,106,US-2016-156867,1900-01-11T16:54:00Z,1900-01-15T16:54:00Z,Standard Class,LC-16870,Lena Cacioppo
106,107,CA-2018-119004,1900-01-21T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,JM-15250,Janet Martin
107,108,CA-2018-119004,1900-01-21T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,JM-15250,Janet Martin
108,109,CA-2018-119004,1900-01-21T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,JM-15250,Janet Martin
109,110,CA-2016-129476,1900-01-13T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,PA-19060,Pete Armstrong
110,111,CA-2018-146780,1900-01-23T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,CV-12805,Cynthia Voltz
111,112,CA-2017-128867,2017-03-10T10:00:00Z,2017-10-10T10:00:00Z,Standard Class,CL-12565,Clay Ludtke
112,113,CA-2017-128867,2017-03-10T10:00:00Z,2017-10-10T10:00:00Z,Standard Class,CL-12565,Clay Ludtke
113,114,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe
114,115,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe
115,116,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe
116,117,CA-2015-115259,1900-01-23T16:54:00Z,1900-01-25T16:54:00Z,Second Class,RC-19960,Ryan Crowe
117,118,CA-2016-110457,2016-02-02T10:00:00Z,2016-06-02T10:00:00Z,Standard Class,DK-13090,Dave Kipp
118,119,US-2016-136476,2016-05-03T10:00:00Z,2016-10-03T10:00:00Z,Standard Class,GG-14650,Greg Guthrie
119,120,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright
120,121,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright
121,122,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright
122,123,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright
123,124,CA-2017-103730,2017-12-05T10:00:00Z,1900-01-13T16:54:00Z,First Class,SC-20725,Steven Cartwright
124,125,US-2015-152030,1900-01-24T16:54:00Z,1900-01-26T16:54:00Z,Second Class,AD-10180,Alan Dominguez
125,126,US-2015-134614,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,PF-19165,Philip Fox
126,127,US-2018-107272,2018-05-10T10:00:00Z,2018-12-10T10:00:00Z,Standard Class,TS-21610,Troy Staebel
127,128,US-2018-107272,2018-05-10T10:00:00Z,2018-12-10T10:00:00Z,Standard Class,TS-21610,Troy Staebel
128,129,US-2017-125969,2017-06-10T10:00:00Z,2017-10-10T10:00:00Z,Second Class,LS-16975,Lindsay Shagiari
129,130,US-2017-125969,2017-06-10T10:00:00Z,2017-10-10T10:00:00Z,Second Class,LS-16975,Lindsay Shagiari
130,131,US-2018-164147,2018-02-01T10:00:00Z,2018-05-01T10:00:00Z,First Class,DW-13585,Dorothy Wardle
131,132,US-2018-164147,2018-02-01T10:00:00Z,2018-05-01T10:00:00Z,First Class,DW-13585,Dorothy Wardle
132,133,US-2018-164147,2018-02-01T10:00:00Z,2018-05-01T10:00:00Z,First Class,DW-13585,Dorothy Wardle
133,134,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
134,135,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
135,136,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
136,137,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
137,138,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
138,139,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
139,140,CA-2017-145583,1900-01-11T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,LC-16885,Lena Creighton
140,141,CA-2017-110366,2017-05-08T10:00:00Z,2017-07-08T10:00:00Z,Second Class,JD-15895,Jonathan Doherty
141,142,CA-2018-106180,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,SH-19975,Sally Hughsby
142,143,CA-2018-106180,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,SH-19975,Sally Hughsby
143,144,CA-2018-106180,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,SH-19975,Sally Hughsby
144,145,CA-2018-155376,1900-01-20T16:54:00Z,1900-01-25T16:54:00Z,Standard Class,SG-20080,Sandra Glassco
145,146,CA-2016-110744,2016-07-08T10:00:00Z,2016-12-08T10:00:00Z,Standard Class,HA-14920,Helen Andreada
146,147,CA-2015-110072,1900-01-20T16:54:00Z,1900-01-26T16:54:00Z,Standard Class,MG-17680,Maureen Gastineau
147,148,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison
148,149,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison
149,150,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison
150,151,CA-2017-114489,2017-05-11T10:00:00Z,2017-09-11T10:00:00Z,Standard Class,JE-16165,Justin Ellison
151,152,CA-2017-158834,1900-01-11T16:54:00Z,1900-01-14T16:54:00Z,First Class,TW-21025,Tamara Willingham
152,153,CA-2017-158834,1900-01-11T16:54:00Z,1900-01-14T16:54:00Z,First Class,TW-21025,Tamara Willingham
153,154,CA-2016-124919,1900-01-29T16:54:00Z,2016-02-05T10:00:00Z,First Class,SP-20650,Stephanie Phelps
154,155,CA-2016-124919,1900-01-29T16:54:00Z,2016-02-05T10:00:00Z,First Class,SP-20650,Stephanie Phelps
155,156,CA-2016-124919,1900-01-29T16:54:00Z,2016-02-05T10:00:00Z,First Class,SP-20650,Stephanie Phelps
156,157,CA-2016-118948,1900-01-26T16:54:00Z,2016-03-05T10:00:00Z,Standard Class,NK-18490,Neil Knudson
157,158,CA-2015-104269,2015-01-02T10:00:00Z,2015-06-02T10:00:00Z,Second Class,DB-13060,Dave Brooks
158,159,CA-2017-114104,1900-01-18T16:54:00Z,1900-01-22T16:54:00Z,Standard Class,NP-18670,Nora Paige
159,160,CA-2017-114104,1900-01-18T16:54:00Z,1900-01-22T16:54:00Z,Standard Class,NP-18670,Nora Paige
160,161,CA-2017-162733,2017-11-04T10:00:00Z,2017-12-04T10:00:00Z,First Class,TT-21070,Ted Trevino
161,162,CA-2016-119697,1900-01-26T16:54:00Z,1900-01-29T16:54:00Z,Second Class,EM-13960,Eric Murdock
162,163,CA-2017-154508,1900-01-14T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,RD-19900,Ruben Dartt
163,164,CA-2017-113817,2017-07-10T10:00:00Z,2017-11-10T10:00:00Z,Standard Class,MJ-17740,Max Jones
164,165,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
165,166,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
166,167,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
167,168,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
168,169,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
169,170,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
170,171,CA-2015-139892,2015-08-08T10:00:00Z,2015-12-08T10:00:00Z,Standard Class,BM-11140,Becky Martin
171,172,CA-2015-118962,2015-05-07T10:00:00Z,2015-09-07T10:00:00Z,Standard Class,CS-12130,Chad Sievert
172,173,CA-2015-118962,2015-05-07T10:00:00Z,2015-09-07T10:00:00Z,Standard Class,CS-12130,Chad Sievert
173,174,CA-2015-118962,2015-05-07T10:00:00Z,2015-09-07T10:00:00Z,Standard Class,CS-12130,Chad Sievert
174,175,US-2015-100853,1900-01-12T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,JB-15400,Jennifer Braxton
175,176,US-2015-100853,1900-01-12T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,JB-15400,Jennifer Braxton
176,177,US-2018-152366,1900-01-19T16:54:00Z,1900-01-23T16:54:00Z,Second Class,SJ-20500,Shirley Jackson
177,178,US-2016-101511,1900-01-19T16:54:00Z,1900-01-21T16:54:00Z,Second Class,JE-15745,Joel Eaton
178,179,US-2016-101511,1900-01-19T16:54:00Z,1900-01-21T16:54:00Z,Second Class,JE-15745,Joel Eaton
179,180,CA-2016-137225,1900-01-13T16:54:00Z,1900-01-17T16:54:00Z,Standard Class,JK-15640,Jim Kriz
180,181,CA-2015-166191,2015-05-11T10:00:00Z,2015-09-11T10:00:00Z,Second Class,DK-13150,David Kendrick
181,182,CA-2015-166191,2015-05-11T10:00:00Z,2015-09-11T10:00:00Z,Second Class,DK-13150,David Kendrick
182,183,CA-2015-158274,1900-01-17T16:54:00Z,1900-01-22T16:54:00Z,Second Class,RM-19675,Robert Marley
183,184,CA-2015-158274,1900-01-17T16:54:00Z,1900-01-22T16:54:00Z,Second Class,RM-19675,Robert Marley
184,185,CA-2015-158274,1900-01-17T16:54:00Z,1900-01-22T16:54:00Z,Second Class,RM-19675,Robert Marley
185,186,CA-2017-105018,1900-01-26T16:54:00Z,2017-02-11T10:00:00Z,Standard Class,SK-19990,Sally Knutson
186,187,CA-2015-123260,1900-01-24T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,FM-14290,Frank Merwin
187,188,CA-2017-157000,1900-01-14T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,AM-10360,Alice McCarthy
188,189,CA-2017-157000,1900-01-14T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,AM-10360,Alice McCarthy
189,190,CA-2016-102281,2016-12-09T10:00:00Z,1900-01-12T16:54:00Z,First Class,MP-17470,Mark Packer
190,191,CA-2016-102281,2016-12-09T10:00:00Z,1900-01-12T16:54:00Z,First Class,MP-17470,Mark Packer
191,192,CA-2016-102281,2016-12-09T10:00:00Z,1900-01-12T16:54:00Z,First Class,MP-17470,Mark Packer
192,193,CA-2016-102281,2016-12-09T10:00:00Z,1900-01-12T16:54:00Z,First Class,MP-17470,Mark Packer
193,194,CA-2016-102281,2016-12-09T10:00:00Z,1900-01-12T16:54:00Z,First Class,MP-17470,Mark Packer
194,195,CA-2016-131457,1900-01-29T16:54:00Z,2016-06-10T10:00:00Z,Standard Class,MZ-17515,Mary Zewe
195,196,CA-2015-140004,1900-01-19T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,CB-12025,Cassandra Brandow
196,197,CA-2015-140004,1900-01-19T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,CB-12025,Cassandra Brandow
197,198,CA-2018-107720,2018-06-10T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,VM-21685,Valerie Mitchum
198,199,US-2018-124303,2018-06-06T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,FH-14365,Fred Hopkins
199,200,US-2018-124303,2018-06-06T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,FH-14365,Fred Hopkins
200,201,CA-2018-105074,1900-01-22T16:54:00Z,1900-01-27T16:54:00Z,Standard Class,MB-17305,Maria Bertelson
201,202,CA-2015-133690,2015-03-07T10:00:00Z,2015-05-07T10:00:00Z,First Class,BS-11755,Bruce Stewart
202,203,CA-2015-133690,2015-03-07T10:00:00Z,2015-05-07T10:00:00Z,First Class,BS-11755,Bruce Stewart
203,204,US-2018-116701,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Second Class,LC-17140,Logan Currie
204,205,CA-2018-126382,2018-03-05T10:00:00Z,2018-07-05T10:00:00Z,Standard Class,HK-14890,Heather Kirkland
205,206,CA-2018-108329,2018-09-11T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,LE-16810,Laurel Elliston
206,207,CA-2018-135860,2018-01-11T10:00:00Z,2018-07-11T10:00:00Z,Standard Class,JH-15985,Joseph Holt
207,208,CA-2018-135860,2018-01-11T10:00:00Z,2018-07-11T10:00:00Z,Standard Class,JH-15985,Joseph Holt
208,209,CA-2018-135860,2018-01-11T10:00:00Z,2018-07-11T10:00:00Z,Standard Class,JH-15985,Joseph Holt
209,210,CA-2018-135860,2018-01-11T10:00:00Z,2018-07-11T10:00:00Z,Standard Class,JH-15985,Joseph Holt
210,211,CA-2018-135860,2018-01-11T10:00:00Z,2018-07-11T10:00:00Z,Standard Class,JH-15985,Joseph Holt
211,212,CA-2016-101007,2016-09-01T10:00:00Z,1900-01-11T16:54:00Z,Second Class,MS-17980,Michael Stewart
212,213,CA-2016-146262,2016-01-31T10:00:00Z,2016-08-31T10:00:00Z,Standard Class,VW-21775,Victoria Wilson
213,214,CA-2016-146262,2016-01-31T10:00:00Z,2016-08-31T10:00:00Z,Standard Class,VW-21775,Victoria Wilson
214,215,CA-2016-146262,2016-01-31T10:00:00Z,2016-08-31T10:00:00Z,Standard Class,VW-21775,Victoria Wilson
215,216,CA-2016-146262,2016-01-31T10:00:00Z,2016-08-31T10:00:00Z,Standard Class,VW-21775,Victoria Wilson
216,217,CA-2016-146262,2016-01-31T10:00:00Z,2016-08-31T10:00:00Z,Standard Class,VW-21775,Victoria Wilson
217,218,CA-2017-130162,1900-01-26T16:54:00Z,2017-01-10T10:00:00Z,Standard Class,JH-15910,Jonathan Howell
218,219,CA-2017-130162,1900-01-26T16:54:00Z,2017-01-10T10:00:00Z,Standard Class,JH-15910,Jonathan Howell
219,220,CA-2016-169397,1900-01-22T16:54:00Z,1900-01-25T16:54:00Z,First Class,JB-15925,Joni Blumstein
220,221,CA-2016-169397,1900-01-22T16:54:00Z,1900-01-25T16:54:00Z,First Class,JB-15925,Joni Blumstein
